game_id,season,week,gameday,away_team,home_team,home_margin,market_home_margin,predicted_home_margin,model_edge,home_spread_odds,away_spread_odds,explosive_pass_rate_diff,def_pass_success_allowed_diff,home_offensive_plays,rush_success_rate_diff,away_def_rush_success_allowed,away_avg_cpoe,home_defensive_plays,avg_cpoe_diff,def_success_rate_allowed_diff,pass_epa_per_play_diff,home_turnover_forced_rate,home_avg_air_yards,home_tackle_for_loss_rate,home_yards_per_rush,home_avg_yac,turnover_rate_diff,home_def_yards_allowed_per_rush,away_rush_epa_per_play,home_avg_xpass
2024_02_BUF_MIA,2024,2,2024-09-12,BUF,MIA,-21.0,2.5,-1.7258306384575848,-4.225830638457585,-110.0,-110.0,0.0242914979757085,0.0166666666666666,65.0,-0.1225,0.36,9.891941625138989,50.0,-17.547208049159117,0.0166666666666666,-0.2583551176771174,0.02,6.162162162162162,0.06,3.24,10.565217391304348,-0.0175438596491228,4.923076923076923,0.1093034374866892,0.6866065492996802
2024_02_LV_BAL,2024,2,2024-09-15,LV,BAL,-3.0,9.0,14.132545807187892,5.132545807187892,-108.0,-112.0,-0.0407695831424645,0.1592592592592592,74.0,0.5198863636363636,0.32,1.0440231300890446,49.0,-4.730840791016817,0.0835949764521193,-0.0257267119963199,0.0204081632653061,6.512195121951219,0.0204081632653061,5.78125,6.384615384615385,-0.0373339441136051,3.842105263157895,-0.8414890370755033,0.743988433399716
2024_02_LAC_CAR,2024,2,2024-09-15,LAC,CAR,-23.0,-5.0,-6.284640927606036,-1.284640927606036,-110.0,-110.0,0.0171328671328671,0.0475675675675675,55.0,-0.12,0.1363636363636363,-0.6245571374893188,62.0,-16.561728212340125,0.1457080371787862,-0.3470488474371781,0.0,12.35483870967742,0.0483870967741935,2.9,3.8461538461538463,0.0545454545454545,4.864864864864865,0.0108585050207376,0.7943606929345565
2024_02_NO_DAL,2024,2,2024-09-15,NO,DAL,-25.0,6.5,5.204845482630734,-1.2951545173692658,-108.0,-112.0,0.0016402405686167,-0.1271708683473389,59.0,-0.0844594594594594,0.2,10.19233465194702,70.0,-16.799141130139752,-0.0337662337662337,-0.510234996065535,0.0285714285714285,9.0625,0.0142857142857142,4.291666666666667,5.2631578947368425,0.0,4.894736842105263,0.1288472561632145,0.5942007629042965
2024_02_TB_DET,2024,2,2024-09-15,TB,DET,-4.0,7.5,8.72386396762142,1.2238639676214191,-112.0,-108.0,-0.018616282300639,-0.0305010893246187,61.0,0.3202764976958525,0.4827586206896552,12.67606407403946,74.0,-20.22588406290327,-0.0091698841698841,-0.8245323657898953,0.0135135135135135,6.678571428571429,0.0405405405405405,5.258064516129032,8.222222222222221,0.0163934426229508,3.608695652173913,-0.174157471332459,0.5807885094011416
2024_02_IND_GB,2024,2,2024-09-15,IND,GB,6.0,-3.0,-5.101945456370597,-2.101945456370597,-118.0,-102.0,-0.0003852080123266,0.0698412698412698,59.0,-0.0652173913043477,0.5128205128205128,-14.212923379320848,73.0,2.035359268713938,-0.0142465753424657,0.2085881097273412,0.0410958904109589,8.971428571428572,0.0684931506849315,7.409090909090909,8.117647058823529,-0.0057781201848998,3.789473684210526,0.2311382759457413,0.6416941824658163
2024_02_CLE_JAX,2024,2,2024-09-15,CLE,JAX,-5.0,3.0,1.839536013469005,-1.160463986530995,-120.0,100.0,0.0514285714285714,0.0321428571428571,50.0,0.0161943319838057,0.375,-7.962810612002085,65.0,7.721535245018169,0.0440677966101695,0.5243544365606656,0.0,9.80952380952381,0.0769230769230769,4.923076923076923,3.333333333333333,-0.0085714285714285,3.24,0.2150078521961787,0.5802444192767143
2024_02_SF_MIN,2024,2,2024-09-15,SF,MIN,6.0,-4.5,-4.1501634711685345,0.34983652883146554,-108.0,-112.0,0.0020289855072463,-0.2505147563486616,50.0,0.0075675675675675,0.2631578947368421,1.223947467475102,68.0,15.475851261633627,-0.1311764705882352,0.1409838569597495,0.0294117647058823,8.125,0.0147058823529411,4.48,3.5789473684210527,0.04,3.523809523809524,0.0683722745334553,0.510259565114975
2024_02_SEA_NE,2024,2,2024-09-15,SEA,NE,-3.0,-3.5,-0.13041832001924458,3.3695816799807554,-118.0,-102.0,-0.0172413793103448,0.125,61.0,-0.0166666666666666,0.32,5.264541029930115,48.0,-4.13183625884678,0.1413043478260869,0.1262139614038975,0.0208333333333333,6.416666666666667,0.0208333333333333,4.777777777777778,3.6,-0.0172413793103448,4.375,0.0368724969002263,0.5432391740137437
2024_02_NYJ_TEN,2024,2,2024-09-15,NYJ,TEN,-7.0,-3.5,-3.9213400630353656,-0.42134006303536564,-108.0,-112.0,-0.0072131147540983,-0.125,61.0,0.1599190283400809,0.4324324324324324,-2.0668061128978072,52.0,6.948027113692818,-0.0646599777034559,-0.5375234135792822,0.0,7.03125,0.0769230769230769,5.384615384615385,2.631578947368421,0.0091803278688524,4.3,-0.1598380809997478,0.658855420644166
